:ID(Component),system_id,type,name
AC1001-S01-C01,AC1001-S01,Turbine,Turbine
AC1001-S01-C02,AC1001-S01,Compressor,Compressor
AC1001-S01-C03,AC1001-S01,Combustor,Combustor
AC1001-S01-C04,AC1001-S01,Nozzle,Nozzle
AC1001-S01-C05,AC1001-S01,Control Unit,Control Unit
AC1001-S02-C01,AC1001-S02,Turbine,Turbine
AC1001-S02-C02,AC1001-S02,Compressor,Compressor
AC1001-S02-C03,AC1001-S02,Combustor,Combustor
AC1001-S02-C04,AC1001-S02,Nozzle,Nozzle
AC1001-S02-C05,AC1001-S02,Control Unit,Control Unit
AC1001-S03-C01,AC1001-S03,Flight Computer,Flight Computer
AC1001-S03-C02,AC1001-S03,Navigation Unit,Navigation Unit
AC1001-S03-C03,AC1001-S03,Communication Unit,Communication Unit
AC1001-S04-C01,AC1001-S04,Pump,Pump
AC1001-S04-C02,AC1001-S04,Filter,Filter
AC1001-S04-C03,AC1001-S04,Reservoir,Reservoir
AC1001-S04-C04,AC1001-S04,Actuator,Actuator
AC1002-S01-C01,AC1002-S01,Turbine,Turbine
AC1002-S01-C02,AC1002-S01,Compressor,Compressor
AC1002-S01-C03,AC1002-S01,Combustor,Combustor
AC1002-S01-C04,AC1002-S01,Nozzle,Nozzle
AC1002-S01-C05,AC1002-S01,Control Unit,Control Unit
AC1002-S02-C01,AC1002-S02,Turbine,Turbine
AC1002-S02-C02,AC1002-S02,Compressor,Compressor
AC1002-S02-C03,AC1002-S02,Combustor,Combustor
AC1002-S02-C04,AC1002-S02,Nozzle,Nozzle
AC1002-S02-C05,AC1002-S02,Control Unit,Control Unit
AC1002-S03-C01,AC1002-S03,Flight Computer,Flight Computer
AC1002-S03-C02,AC1002-S03,Navigation Unit,Navigation Unit
AC1002-S03-C03,AC1002-S03,Communication Unit,Communication Unit
AC1002-S04-C01,AC1002-S04,Pump,Pump
AC1002-S04-C02,AC1002-S04,Filter,Filter
AC1002-S04-C03,AC1002-S04,Reservoir,Reservoir
AC1002-S04-C04,AC1002-S04,Actuator,Actuator
AC1003-S01-C01,AC1003-S01,Turbine,Turbine
AC1003-S01-C02,AC1003-S01,Compressor,Compressor
AC1003-S01-C03,AC1003-S01,Combustor,Combustor
AC1003-S01-C04,AC1003-S01,Nozzle,Nozzle
AC1003-S01-C05,AC1003-S01,Control Unit,Control Unit
AC1003-S02-C01,AC1003-S02,Turbine,Turbine
AC1003-S02-C02,AC1003-S02,Compressor,Compressor
AC1003-S02-C03,AC1003-S02,Combustor,Combustor
AC1003-S02-C04,AC1003-S02,Nozzle,Nozzle
AC1003-S02-C05,AC1003-S02,Control Unit,Control Unit
AC1003-S03-C01,AC1003-S03,Flight Computer,Flight Computer
AC1003-S03-C02,AC1003-S03,Navigation Unit,Navigation Unit
AC1003-S03-C03,AC1003-S03,Communication Unit,Communication Unit
AC1003-S04-C01,AC1003-S04,Pump,Pump
AC1003-S04-C02,AC1003-S04,Filter,Filter
AC1003-S04-C03,AC1003-S04,Reservoir,Reservoir
AC1003-S04-C04,AC1003-S04,Actuator,Actuator
AC1004-S01-C01,AC1004-S01,Turbine,Turbine
AC1004-S01-C02,AC1004-S01,Compressor,Compressor
AC1004-S01-C03,AC1004-S01,Combustor,Combustor
AC1004-S01-C04,AC1004-S01,Nozzle,Nozzle
AC1004-S01-C05,AC1004-S01,Control Unit,Control Unit
AC1004-S02-C01,AC1004-S02,Turbine,Turbine
AC1004-S02-C02,AC1004-S02,Compressor,Compressor
AC1004-S02-C03,AC1004-S02,Combustor,Combustor
AC1004-S02-C04,AC1004-S02,Nozzle,Nozzle
AC1004-S02-C05,AC1004-S02,Control Unit,Control Unit
AC1004-S03-C01,AC1004-S03,Flight Computer,Flight Computer
AC1004-S03-C02,AC1004-S03,Navigation Unit,Navigation Unit
AC1004-S03-C03,AC1004-S03,Communication Unit,Communication Unit
AC1004-S04-C01,AC1004-S04,Pump,Pump
AC1004-S04-C02,AC1004-S04,Filter,Filter
AC1004-S04-C03,AC1004-S04,Reservoir,Reservoir
AC1004-S04-C04,AC1004-S04,Actuator,Actuator
AC1005-S01-C01,AC1005-S01,Turbine,Turbine
AC1005-S01-C02,AC1005-S01,Compressor,Compressor
AC1005-S01-C03,AC1005-S01,Combustor,Combustor
AC1005-S01-C04,AC1005-S01,Nozzle,Nozzle
AC1005-S01-C05,AC1005-S01,Control Unit,Control Unit
AC1005-S02-C01,AC1005-S02,Turbine,Turbine
AC1005-S02-C02,AC1005-S02,Compressor,Compressor
AC1005-S02-C03,AC1005-S02,Combustor,Combustor
AC1005-S02-C04,AC1005-S02,Nozzle,Nozzle
AC1005-S02-C05,AC1005-S02,Control Unit,Control Unit
AC1005-S03-C01,AC1005-S03,Flight Computer,Flight Computer
AC1005-S03-C02,AC1005-S03,Navigation Unit,Navigation Unit
AC1005-S03-C03,AC1005-S03,Communication Unit,Communication Unit
AC1005-S04-C01,AC1005-S04,Pump,Pump
AC1005-S04-C02,AC1005-S04,Filter,Filter
AC1005-S04-C03,AC1005-S04,Reservoir,Reservoir
AC1005-S04-C04,AC1005-S04,Actuator,Actuator
AC1006-S01-C01,AC1006-S01,Turbine,Turbine
AC1006-S01-C02,AC1006-S01,Compressor,Compressor
AC1006-S01-C03,AC1006-S01,Combustor,Combustor
AC1006-S01-C04,AC1006-S01,Nozzle,Nozzle
AC1006-S01-C05,AC1006-S01,Control Unit,Control Unit
AC1006-S02-C01,AC1006-S02,Turbine,Turbine
AC1006-S02-C02,AC1006-S02,Compressor,Compressor
AC1006-S02-C03,AC1006-S02,Combustor,Combustor
AC1006-S02-C04,AC1006-S02,Nozzle,Nozzle
AC1006-S02-C05,AC1006-S02,Control Unit,Control Unit
AC1006-S03-C01,AC1006-S03,Flight Computer,Flight Computer
AC1006-S03-C02,AC1006-S03,Navigation Unit,Navigation Unit
AC1006-S03-C03,AC1006-S03,Communication Unit,Communication Unit
AC1006-S04-C01,AC1006-S04,Pump,Pump
AC1006-S04-C02,AC1006-S04,Filter,Filter
AC1006-S04-C03,AC1006-S04,Reservoir,Reservoir
AC1006-S04-C04,AC1006-S04,Actuator,Actuator
AC1007-S01-C01,AC1007-S01,Turbine,Turbine
AC1007-S01-C02,AC1007-S01,Compressor,Compressor
AC1007-S01-C03,AC1007-S01,Combustor,Combustor
AC1007-S01-C04,AC1007-S01,Nozzle,Nozzle
AC1007-S01-C05,AC1007-S01,Control Unit,Control Unit
AC1007-S02-C01,AC1007-S02,Turbine,Turbine
AC1007-S02-C02,AC1007-S02,Compressor,Compressor
AC1007-S02-C03,AC1007-S02,Combustor,Combustor
AC1007-S02-C04,AC1007-S02,Nozzle,Nozzle
AC1007-S02-C05,AC1007-S02,Control Unit,Control Unit
AC1007-S03-C01,AC1007-S03,Flight Computer,Flight Computer
AC1007-S03-C02,AC1007-S03,Navigation Unit,Navigation Unit
AC1007-S03-C03,AC1007-S03,Communication Unit,Communication Unit
AC1007-S04-C01,AC1007-S04,Pump,Pump
