:ID(RemovalEvent),RMV_TRK_NO,RMV_REA_TX,component_id,aircraft_id,removal_date,work_order_number,technician_id,part_number,serial_number,time_since_install,flight_hours_at_removal,flight_cycles_at_removal,replacement_required,shop_visit_required,warranty_status,removal_priority,cost_estimate,installation_date
RE000001,RMV240805000001,Civil high decision beautiful rise seat physical seem yard,AC1001-S01-C03,AC1001,2024-08-05T06:00:00,WO2408-0001,Cindy Hernandez,PNR86878-060,SNHA731798,8568,12411,1855,True,True,OUT_WARRANTY,LOW,24021,2023-08-14T06:00:00
RE000002,RMV240704000002,Stay red western notice present crime thousand apply rather describe,AC1001-S02-C05,AC1001,2024-07-04T06:00:00,WO2407-0002,Roger Santiago,PN63666-321,SNME628044,9648,10116,1798,False,True,IN_WARRANTY,HIGH,44068,2023-05-29T06:00:00
RE000003,RMV240822000003,Wall guess majority prepare upon,AC1001-S02-C01,AC1001,2024-08-22T14:00:00,WO2408-0003,Haley Moore,PT79008-947,SNAW564363,15600,1301,2546,True,False,IN_WARRANTY,MEDIUM,22382,2022-11-11T14:00:00
RE000004,RMV240701000004,Meeting mind senior tonight with red idea stay compare,AC1002-S02-C03,AC1002,2024-07-01T15:00:00,WO2407-0004,Sherry Anderson,PT16789-672,SNJL975883,9912,7590,2013,False,False,OUT_WARRANTY,MEDIUM,26713,2023-05-15T15:00:00
RE000005,RMV240901000005,Occur book major defense suddenly size tell popular worry give well,AC1002-S02-C05,AC1002,2024-09-01T14:00:00,WO2409-0005,Jacqueline Moore,P10968-491,SNOZ439623,16416,10843,1983,True,True,IN_WARRANTY,LOW,9125,2022-10-18T14:00:00
RE000006,RMV240716000006,Evidence future group best young how argue,AC1003-S01-C04,AC1003,2024-07-16T06:00:00,WO2407-0006,Pamela Hubbard,PN57960-513,SNQY625752,10296,23640,2152,True,True,OUT_WARRANTY,LOW,22612,2023-05-14T06:00:00
RE000007,RMV240825000007,Rich list lay news child owner believe know not present,AC1004-S01-C04,AC1004,2024-08-25T07:00:00,WO2408-0007,Wanda Lee,P58812-873,SNHM878689,18288,9151,2204,True,False,OUT_WARRANTY,MEDIUM,19484,2022-07-25T07:00:00
RE000008,RMV240711000008,Shoulder easy issue establish fly economy,AC1004-S02-C04,AC1004,2024-07-11T11:00:00,WO2407-0008,Kevin Hampton,PT28769-064,SNLI922819,4968,14238,452,True,True,IN_WARRANTY,CRITICAL,32098,2023-12-17T11:00:00
RE000009,RMV240804000009,Where them wish seat region,AC1005-S02-C03,AC1005,2024-08-04T17:00:00,WO2408-0009,Nancy Cole,PT75888-932,SNKT770712,5208,18726,1504,True,True,OUT_WARRANTY,LOW,3594,2023-12-31T17:00:00
RE000010,RMV240928000010,Condition exactly field dark goal,AC1005-S04-C03,AC1005,2024-09-28T15:00:00,WO2409-0010,Robert Gray,P72854-248,SNQP296479,10128,16295,1999,False,False,IN_WARRANTY,MEDIUM,53187,2023-08-03T15:00:00
RE000011,RMV240903000011,Then lay important time road girl,AC1005-S01-C04,AC1005,2024-09-03T14:00:00,WO2409-0011,Brittany Davis,PT26044-185,SNRB020475,6576,13267,3098,True,True,OUT_WARRANTY,MEDIUM,4837,2023-12-04T14:00:00
RE000012,RMV240920000012,Article kitchen decision manage land market great,AC1005-S03-C03,AC1005,2024-09-20T07:00:00,WO2409-0012,Kristine Fletcher,PN72402-772,SNSJ175856,16344,24504,627,False,True,OUT_WARRANTY,HIGH,51670,2022-11-09T07:00:00
RE000013,RMV240927000013,Those those rate indicate nearly clearly,AC1006-S02-C04,AC1006,2024-09-27T08:00:00,WO2409-0013,Sierra Allen,PN18392-716,SNYZ523428,4944,2918,3189,True,False,IN_WARRANTY,HIGH,9156,2024-03-05T08:00:00
RE000014,RMV240801000014,City eat develop notice cultural should,AC1006-S04-C04,AC1006,2024-08-01T17:00:00,WO2408-0014,Jimmy Newman,PT51637-915,SNVH962649,8544,15471,3591,True,False,OUT_WARRANTY,LOW,24021,2023-08-11T17:00:00
RE000015,RMV240810000015,Dream sport it process,AC1007-S04-C03,AC1007,2024-08-10T10:00:00,WO2408-0015,Chad Hernandez,PT47895-066,SNON600293,6768,24430,2906,True,False,OUT_WARRANTY,LOW,7380,2023-11-02T10:00:00
RE000016,RMV240723000016,Control idea cause hit someone around spring form,AC1007-S03-C01,AC1007,2024-07-23T07:00:00,WO2407-0016,Beverly Marsh,PNR86392-839,SNEU879750,20448,15419,3130,False,False,OUT_WARRANTY,CRITICAL,121816,2022-03-24T07:00:00
RE000017,RMV240821000017,Their final that its remain rich agent,AC1008-S03-C03,AC1008,2024-08-21T11:00:00,WO2408-0017,Raymond Serrano,P15618-930,SNFC654367,8832,10124,1007,True,False,OUT_WARRANTY,CRITICAL,99127,2023-08-19T11:00:00
RE000018,RMV240822000018,State reduce own understand positive contain,AC1009-S02-C01,AC1009,2024-08-22T14:00:00,WO2408-0018,Tyler Jones,P51517-207,SNSC375591,9168,21214,363,False,True,OUT_WARRANTY,CRITICAL,68556,2023-08-06T14:00:00
RE000019,RMV240816000019,Home church season say catch year official hair if,AC1010-S01-C01,AC1010,2024-08-16T14:00:00,WO2408-0019,Jeffrey Alvarado,PN64022-698,SNCN344300,20712,22112,2626,False,True,OUT_WARRANTY,HIGH,14492,2022-04-06T14:00:00
RE000020,RMV240822000020,Body camera home soon including career,AC1011-S03-C01,AC1011,2024-08-22T11:00:00,WO2408-0020,Richard Burns,P31476-953,SNYL948513,12216,11872,1245,True,True,IN_WARRANTY,HIGH,9529,2023-04-01T11:00:00
RE000021,RMV240827000021,Expert out assume law rich should tough bill inside,AC1011-S03-C03,AC1011,2024-08-27T12:00:00,WO2408-0021,Dan Colon,PT62113-269,SNSU275828,17136,13970,294,True,True,IN_WARRANTY,MEDIUM,11186,2022-09-13T12:00:00
