:START_ID(Aircraft),:END_ID(System)
AC1001,AC1001-S01
AC1001,AC1001-S02
AC1001,AC1001-S03
AC1001,AC1001-S04
AC1002,AC1002-S01
AC1002,AC1002-S02
AC1002,AC1002-S03
AC1002,AC1002-S04
AC1003,AC1003-S01
AC1003,AC1003-S02
AC1003,AC1003-S03
AC1003,AC1003-S04
AC1004,AC1004-S01
AC1004,AC1004-S02
AC1004,AC1004-S03
AC1004,AC1004-S04
AC1005,AC1005-S01
AC1005,AC1005-S02
AC1005,AC1005-S03
AC1005,AC1005-S04
AC1006,AC1006-S01
AC1006,AC1006-S02
AC1006,AC1006-S03
AC1006,AC1006-S04
AC1007,AC1007-S01
AC1007,AC1007-S02
AC1007,AC1007-S03
AC1007,AC1007-S04
AC1008,AC1008-S01
AC1008,AC1008-S02
AC1008,AC1008-S03
AC1008,AC1008-S04
AC1009,AC1009-S01
AC1009,AC1009-S02
AC1009,AC1009-S03
AC1009,AC1009-S04
AC1010,AC1010-S01
AC1010,AC1010-S02
AC1010,AC1010-S03
AC1010,AC1010-S04
AC1011,AC1011-S01
AC1011,AC1011-S02
AC1011,AC1011-S03
AC1011,AC1011-S04
AC1012,AC1012-S01
AC1012,AC1012-S02
AC1012,AC1012-S03
AC1012,AC1012-S04
AC1013,AC1013-S01
AC1013,AC1013-S02
AC1013,AC1013-S03
AC1013,AC1013-S04
AC1014,AC1014-S01
AC1014,AC1014-S02
AC1014,AC1014-S03
AC1014,AC1014-S04
AC1015,AC1015-S01
AC1015,AC1015-S02
AC1015,AC1015-S03
AC1015,AC1015-S04
AC1016,AC1016-S01
AC1016,AC1016-S02
AC1016,AC1016-S03
AC1016,AC1016-S04
AC1017,AC1017-S01
AC1017,AC1017-S02
AC1017,AC1017-S03
AC1017,AC1017-S04
AC1018,AC1018-S01
AC1018,AC1018-S02
AC1018,AC1018-S03
AC1018,AC1018-S04
AC1019,AC1019-S01
AC1019,AC1019-S02
AC1019,AC1019-S03
AC1019,AC1019-S04
AC1020,AC1020-S01
AC1020,AC1020-S02
AC1020,AC1020-S03
AC1020,AC1020-S04
AC1021,AC1021-S01
AC1021,AC1021-S02
AC1021,AC1021-S03
AC1021,AC1021-S04
AC1022,AC1022-S01
AC1022,AC1022-S02
AC1022,AC1022-S03
AC1022,AC1022-S04
AC1023,AC1023-S01
AC1023,AC1023-S02
AC1023,AC1023-S03
AC1023,AC1023-S04
AC1024,AC1024-S01
AC1024,AC1024-S02
AC1024,AC1024-S03
AC1024,AC1024-S04
AC1025,AC1025-S01
AC1025,AC1025-S02
AC1025,AC1025-S03
AC1025,AC1025-S04
AC1026,AC1026-S01
AC1026,AC1026-S02
AC1026,AC1026-S03
AC1026,AC1026-S04
AC1027,AC1027-S01
AC1027,AC1027-S02
AC1027,AC1027-S03
AC1027,AC1027-S04
AC1028,AC1028-S01
AC1028,AC1028-S02
AC1028,AC1028-S03
AC1028,AC1028-S04
AC1029,AC1029-S01
AC1029,AC1029-S02
AC1029,AC1029-S03
AC1029,AC1029-S04
AC1030,AC1030-S01
AC1030,AC1030-S02
AC1030,AC1030-S03
AC1030,AC1030-S04
AC1031,AC1031-S01
AC1031,AC1031-S02
AC1031,AC1031-S03
AC1031,AC1031-S04
AC1032,AC1032-S01
AC1032,AC1032-S02
AC1032,AC1032-S03
AC1032,AC1032-S04
AC1033,AC1033-S01
AC1033,AC1033-S02
AC1033,AC1033-S03
AC1033,AC1033-S04
AC1034,AC1034-S01
AC1034,AC1034-S02
AC1034,AC1034-S03
AC1034,AC1034-S04
AC1035,AC1035-S01
AC1035,AC1035-S02
AC1035,AC1035-S03
AC1035,AC1035-S04
AC1036,AC1036-S01
AC1036,AC1036-S02
AC1036,AC1036-S03
AC1036,AC1036-S04
